"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Women	3	Obese	"bmi"	4	3	19	8	11	       0.0081287	      -6.5170324	      -6.0521210	       0.9147015	      -6.0917772
All	Women	4	Obese	"bmi"	1	0	19	2	17	       0.0259071	      -6.2877366	      -6.2877366	       0.0000000	      -6.2877366
All	Women	4	Obese	"bmi"	2	1	19	4	15	       0.0143796	      -6.5664987	      -6.4115282	       0.4449533	      -6.4975441
All	Women	4	Obese	"bmi"	3	2	19	6	13	       0.0078229	      -6.8653195	      -6.5553785	       0.8850739	      -6.5909988
All	Women	4	Obese	"bmi"	4	3	19	8	11	       0.0030424	      -7.4997810	      -7.0348696	       0.9006004	      -7.0810816
All	Women	5	Obese	"bmi"	1	0	19	2	17	       0.0110430	      -7.1404594	      -7.1404594	       0.0000000	      -7.1404594
All	Women	5	Obese	"bmi"	2	1	19	4	15	       0.0082081	      -7.1271951	      -6.9722246	       0.2567157	      -7.0874117
All	Women	5	Obese	"bmi"	3	2	19	6	13	       0.0064838	      -7.0530641	      -6.7431232	       0.8072831	      -6.8028541
All	Women	5	Obese	"bmi"	4	3	19	8	11	       0.0029407	      -7.5337809	      -7.0688695	       0.8072831	      -7.1584658
All	Men	1	Overweight	"bmi"	1	0	19	2	17	       0.0066717	      -7.6443811	      -7.6443811	       0.0000000	      -7.6443811
All	Men	1	Overweight	"bmi"	2	1	19	4	15	       0.0044632	      -7.7364394	      -7.5814689	       0.3310187	      -7.6851413
All	Men	1	Overweight	"bmi"	3	2	19	6	13	       0.0026906	      -7.9326185	      -7.6226775	       0.9710054	      -7.6316641
All	Men	1	Overweight	"bmi"	4	3	19	8	11	       0.0018452	      -7.9998630	      -7.5349516	       0.7680920	      -7.6427683
All	Men	2	Overweight	"bmi"	1	0	19	2	17	       0.0075515	      -7.5205104	      -7.5205104	       0.0000000	      -7.5205104
All	Men	2	Overweight	"bmi"	2	1	19	4	15	       0.0033887	      -8.0118720	      -7.8569015	       0.5512559	      -7.9264436
All	Men	2	Overweight	"bmi"	3	2	19	6	13	       0.0017182	      -8.3810754	      -8.0711345	       0.9882387	      -8.0747798
All	Men	2	Overweight	"bmi"	4	3	19	8	11	       0.0015929	      -8.1468912	      -7.6819798	       0.9882387	      -7.6874477
All	Men	3	Overweight	"bmi"	1	0	19	2	17	       0.0087602	      -7.3720350	      -7.3720350	       0.0000000	      -7.3720350
All	Men	3	Overweight	"bmi"	2	1	19	4	15	       0.0074797	      -7.2201262	      -7.0651558	       0.1461777	      -7.1974730
All	Men	3	Overweight	"bmi"	3	2	19	6	13	       0.0047388	      -7.3665943	      -7.0566534	       0.8058361	      -7.1168327
All	Men	3	Overweight	"bmi"	4	3	19	8	11	       0.0012808	      -8.3649667	      -7.9000552	       0.8746833	      -7.9583164
All	Men	4	Overweight	"bmi"	1	0	19	2	17	       0.0299499	      -6.1427283	      -6.1427283	       0.0000000	      -6.1427283
All	Men	4	Overweight	"bmi"	2	1	19	4	15	       0.0055600	      -7.5167147	      -7.3617443	       0.8143566	      -7.3905135
All	Men	4	Overweight	"bmi"	3	2	19	6	13	       0.0016820	      -8.4024136	      -8.0924727	       0.8636722	      -8.1347262
All	Men	4	Overweight	"bmi"	4	3	19	8	11	       0.0010904	      -8.5258616	      -8.0609502	       0.8939793	      -8.1102404
All	Men	5	Overweight	"bmi"	1	0	19	2	17	       0.0137140	      -6.9238355	      -6.9238355	       0.0000000	      -6.9238355
All	Men	5	Overweight	"bmi"	2	1	19	4	15	       0.0063952	      -7.3767718	      -7.2218013	       0.5336772	      -7.2940676
All	Men	5	Overweight	"bmi"	3	2	19	6	13	       0.0052940	      -7.2557935	      -6.9458525	       0.7437446	      -7.0252766
