"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Women	20-49	Gallbladder	3	2	19	6	13	       0.3841061	      -2.9714527	      -2.6615117	       0.7619048	      -2.7353072
Women	20-49	Gallbladder	4	3	19	8	11	       0.3498360	      -2.7549661	      -2.2900547	       0.2851532	      -2.6223952
Women	20-49	Hodgkin Lymphoma	1	0	19	2	17	       0.0546000	      -5.5422196	      -5.5422196	       0.0000000	      -5.5422196
Women	20-49	Hodgkin Lymphoma	2	1	19	4	15	       0.0430488	      -5.4699791	      -5.3150087	       0.2115612	      -5.4371934
Women	20-49	Hodgkin Lymphoma	3	2	19	6	13	       0.0278902	      -5.5940947	      -5.2841538	       0.4737464	      -5.4472613
Women	20-49	Hodgkin Lymphoma	4	3	19	8	11	       0.0256898	      -5.3663377	      -4.9014262	       0.7807122	      -5.0033757
Women	20-49	Kaposi Sarcoma	1	0	19	0	0	       0.0000000	       0.0000000	       0.0000000	       0.0000000	       0.0000000
Women	20-49	Kidney	1	0	19	2	17	       0.1129860	      -4.8149897	      -4.8149897	       0.0000000	      -4.8149897
Women	20-49	Kidney	2	1	19	4	15	       0.0827816	      -4.8161064	      -4.6611360	       0.2673284	      -4.7746784
Women	20-49	Kidney	3	2	19	6	13	       0.0707722	      -4.6629049	      -4.3529640	       0.6201550	      -4.4706935
Women	20-49	Kidney	4	3	19	8	11	       0.0582451	      -4.5477702	      -4.0828588	       0.5137033	      -4.3089437
Women	20-49	Larynx	1	0	19	2	17	       0.7380782	      -2.9382035	      -2.9382035	       0.0000000	      -2.9382035
Women	20-49	Larynx	2	1	19	4	15	       0.6865897	      -2.7005755	      -2.5456050	       0.0697603	      -2.6897647
Women	20-49	Larynx	3	2	19	6	13	       0.6325944	      -2.4725419	      -2.1626010	       0.6363636	      -2.2753068
Women	20-49	Larynx	4	3	19	8	11	       0.6178446	      -2.1861935	      -1.7212820	       0.6907895	      -1.8650376
Women	20-49	Leukaemia	1	0	19	2	17	       0.0475339	      -5.6808110	      -5.6808110	       0.0000000	      -5.6808110
Women	20-49	Leukaemia	2	1	19	4	15	       0.0450721	      -5.4240494	      -5.2690789	       0.0517901	      -5.4160235
Women	20-49	Leukaemia	3	2	19	6	13	       0.0411596	      -5.2049135	      -4.8949725	       0.2186404	      -5.1371479
Women	20-49	Leukaemia	4	3	19	8	11	       0.0352729	      -5.0493167	      -4.5844053	       0.1979955	      -4.9572664
Women	20-49	Liver	1	0	19	2	17	       0.3342022	      -3.7305070	      -3.7305070	       0.0000000	      -3.7305070
Women	20-49	Liver	2	1	19	4	15	       0.1176270	      -4.4647941	      -4.3098237	       0.6480366	      -4.3643676
Women	20-49	Liver	3	2	19	6	13	       0.0884446	      -4.4399947	      -4.1300538	       0.6956801	      -4.2243750
Women	20-49	Liver	4	3	19	8	11	       0.0832601	      -4.1904608	      -3.7255493	       0.6956801	      -3.8670312
Women	20-49	Lung	1	0	19	2	17	       0.0742447	      -5.2348864	      -5.2348864	       0.0000000	      -5.2348864
Women	20-49	Lung	2	1	19	4	15	       0.0728575	      -4.9438072	      -4.7888367	       0.0186850	      -4.9409116
